p,generacion,fraccion_con_antepasado_homicida
0.0001,0,0.00000000
0.0001,1,0.00021000
0.0001,2,0.00052000
0.0001,3,0.00141000
0.0001,4,0.00313000
0.0001,5,0.00595000
0.0001,6,0.01199000
0.0001,7,0.02334000
0.0001,8,0.04592000
0.0001,9,0.08682000
0.0001,10,0.15473000
0.0001,11,0.25543000
0.0001,12,0.38234000
0.0001,13,0.51713000
0.0001,14,0.64708000
0.0001,15,0.76418000
0.0001,16,0.85616000
0.0001,17,0.91720000
0.0001,18,0.95759000
0.0001,19,0.98564000
0.0001,20,0.99787000
0.0001,21,0.99990000
0.0001,22,1.00000000
0.0001,23,1.00000000
0.0001,24,1.00000000
0.0001,25,1.00000000
0.0001,26,1.00000000
0.0001,27,1.00000000
0.0001,28,1.00000000
0.0001,29,1.00000000
0.001,0,0.00000000
0.001,1,0.00193000
0.001,2,0.00585000
0.001,3,0.01406000
0.001,4,0.02977000
0.001,5,0.05976000
0.001,6,0.11646000
0.001,7,0.21764000
0.001,8,0.38346000
0.001,9,0.60749000
0.001,10,0.82579000
0.001,11,0.95296000
0.001,12,0.99390000
0.001,13,0.99979000
0.001,14,1.00000000
0.001,15,1.00000000
0.001,16,1.00000000
0.001,17,1.00000000
0.001,18,1.00000000
0.001,19,1.00000000
0.001,20,1.00000000
0.001,21,1.00000000
0.001,22,1.00000000
0.001,23,1.00000000
0.001,24,1.00000000
0.001,25,1.00000000
0.001,26,1.00000000
0.001,27,1.00000000
0.001,28,1.00000000
0.001,29,1.00000000
0.01,0,0.00000000
0.01,1,0.02004000
0.01,2,0.05890000
0.01,3,0.13068000
0.01,4,0.25907000
0.01,5,0.46021000
0.01,6,0.71316000
0.01,7,0.91691000
0.01,8,0.99265000
0.01,9,0.99991000
0.01,10,1.00000000
0.01,11,1.00000000
0.01,12,1.00000000
0.01,13,1.00000000
0.01,14,1.00000000
0.01,15,1.00000000
0.01,16,1.00000000
0.01,17,1.00000000
0.01,18,1.00000000
0.01,19,1.00000000
0.01,20,1.00000000
0.01,21,1.00000000
0.01,22,1.00000000
0.01,23,1.00000000
0.01,24,1.00000000
0.01,25,1.00000000
0.01,26,1.00000000
0.01,27,1.00000000
0.01,28,1.00000000
0.01,29,1.00000000
