M,p,generacion,fraccion_con_antepasado_homicida
50,0.001,0,0.00000000
50,0.001,1,0.00000000
50,0.001,2,0.00000000
50,0.001,3,0.00533333
50,0.001,4,0.01000000
50,0.001,5,0.02066667
50,0.001,6,0.04866667
50,0.001,7,0.07466667
50,0.001,8,0.10600000
50,0.001,9,0.13733333
50,0.001,10,0.15800000
50,0.001,11,0.17933333
50,0.001,12,0.21333333
50,0.001,13,0.25000000
50,0.001,14,0.31333333
50,0.001,15,0.39400000
50,0.001,16,0.46200000
50,0.001,17,0.51000000
50,0.001,18,0.54133333
50,0.001,19,0.55666667
50,0.001,20,0.57200000
50,0.001,21,0.58466667
50,0.001,22,0.59266667
50,0.001,23,0.60000000
50,0.001,24,0.60000000
50,0.001,25,0.60000000
50,0.001,26,0.60000000
50,0.001,27,0.60466667
50,0.001,28,0.61400000
50,0.001,29,0.62666667
50,0.01,0,0.00000000
50,0.01,1,0.00933333
50,0.01,2,0.02400000
50,0.01,3,0.07200000
50,0.01,4,0.15866667
50,0.01,5,0.29333333
50,0.01,6,0.46333333
50,0.01,7,0.63133333
50,0.01,8,0.75333333
50,0.01,9,0.83266667
50,0.01,10,0.86133333
50,0.01,11,0.89200000
50,0.01,12,0.91866667
50,0.01,13,0.94333333
50,0.01,14,0.96733333
50,0.01,15,0.98200000
50,0.01,16,0.99000000
50,0.01,17,0.99933333
50,0.01,18,1.00000000
50,0.01,19,1.00000000
50,0.01,20,1.00000000
50,0.01,21,1.00000000
50,0.01,22,1.00000000
50,0.01,23,1.00000000
50,0.01,24,1.00000000
50,0.01,25,1.00000000
50,0.01,26,1.00000000
50,0.01,27,1.00000000
50,0.01,28,1.00000000
50,0.01,29,1.00000000
50,0.05,0,0.00000000
50,0.05,1,0.09600000
50,0.05,2,0.24800000
50,0.05,3,0.48000000
50,0.05,4,0.71666667
50,0.05,5,0.88333333
50,0.05,6,0.96200000
50,0.05,7,0.99266667
50,0.05,8,1.00000000
50,0.05,9,1.00000000
50,0.05,10,1.00000000
50,0.05,11,1.00000000
50,0.05,12,1.00000000
50,0.05,13,1.00000000
50,0.05,14,1.00000000
50,0.05,15,1.00000000
50,0.05,16,1.00000000
50,0.05,17,1.00000000
50,0.05,18,1.00000000
50,0.05,19,1.00000000
50,0.05,20,1.00000000
50,0.05,21,1.00000000
50,0.05,22,1.00000000
50,0.05,23,1.00000000
50,0.05,24,1.00000000
50,0.05,25,1.00000000
50,0.05,26,1.00000000
50,0.05,27,1.00000000
50,0.05,28,1.00000000
50,0.05,29,1.00000000
200,0.001,0,0.00000000
200,0.001,1,0.00133333
200,0.001,2,0.00616667
200,0.001,3,0.01433333
200,0.001,4,0.02950000
200,0.001,5,0.06316667
200,0.001,6,0.10483333
200,0.001,7,0.17533333
200,0.001,8,0.26466667
200,0.001,9,0.35833333
200,0.001,10,0.45450000
200,0.001,11,0.55400000
200,0.001,12,0.64050000
