n,casillas_2n,poblacion,antepasados_distintos
0,1.000000e+00,8.000000e+09,1.000000e+00
1,2.000000e+00,5.752524e+09,2.000000e+00
2,4.000000e+00,3.975933e+09,4.000000e+00
3,8.000000e+00,2.748019e+09,8.000000e+00
4,1.600000e+01,1.899330e+09,1.600000e+01
5,3.200000e+01,1.487254e+09,3.200000e+01
6,6.400000e+01,1.297617e+09,6.400000e+01
7,1.280000e+02,1.132160e+09,1.280000e+02
8,2.560000e+02,9.878004e+08,2.560000e+02
9,5.120000e+02,8.583880e+08,5.120000e+02
10,1.024000e+03,7.458190e+08,1.024000e+03
11,2.048000e+03,6.480122e+08,2.048000e+03
12,4.096000e+03,5.906187e+08,4.096000e+03
13,8.192000e+03,5.796113e+08,8.192000e+03
14,1.638400e+04,5.688091e+08,1.638400e+04
15,3.276800e+04,5.582082e+08,3.276800e+04
16,6.553600e+04,5.478049e+08,6.553600e+04
17,1.310720e+05,5.375955e+08,1.310720e+05
18,2.621440e+05,5.275763e+08,2.621440e+05
19,5.242880e+05,5.177439e+08,5.242880e+05
20,1.048576e+06,5.080947e+08,1.048576e+06
21,2.097152e+06,4.986253e+08,2.097152e+06
22,4.194304e+06,4.893324e+08,4.194304e+06
23,8.388608e+06,4.802127e+08,8.388608e+06
24,1.677722e+07,4.712630e+08,1.677722e+07
25,3.355443e+07,4.624801e+08,3.355443e+07
26,6.710886e+07,4.538608e+08,6.710886e+07
27,1.342177e+08,4.454022e+08,1.342177e+08
28,2.684355e+08,4.371013e+08,2.684355e+08
29,5.368709e+08,4.289550e+08,4.289550e+08
30,1.073742e+09,4.209606e+08,4.209606e+08
31,2.147484e+09,4.131151e+08,4.131151e+08
32,4.294967e+09,4.054159e+08,4.054159e+08
33,8.589935e+09,3.978602e+08,3.978602e+08
34,1.717987e+10,3.904453e+08,3.904453e+08
35,3.435974e+10,3.831685e+08,3.831685e+08
36,6.871948e+10,3.760274e+08,3.760274e+08
37,1.374390e+11,3.690194e+08,3.690194e+08
38,2.748779e+11,3.621420e+08,3.621420e+08
39,5.497558e+11,3.553927e+08,3.553927e+08
40,1.099512e+12,3.487693e+08,3.487693e+08
